party,party_slug,city,city_slug,bolge,rank,name,seats
AB,ab,Adana,adana,Adana,1,Adem Boğa,15
AB,ab,Adana,adana,Adana,2,Fisun Bozdoğan,15
AB,ab,Adana,adana,Adana,3,Harun Aksoy,15
AB,ab,Adana,adana,Adana,4,Sanem Çiğdem Boğa,15
AB,ab,Adana,adana,Adana,5,Mehmet Akyol,15
AB,ab,Adana,adana,Adana,6,Bülent Öztürk,15
AB,ab,Adana,adana,Adana,7,Doğan Can Toprak,15
AB,ab,Adana,adana,Adana,8,Fatma Ay,15
AB,ab,Adana,adana,Adana,9,Fırat Taylan,15
AB,ab,Adana,adana,Adana,10,Tarık Sümertaş,15
AB,ab,Adana,adana,Adana,11,Halil İbrahim Aslan,15
AB,ab,Adana,adana,Adana,12,İsmail İrci,15
AB,ab,Adana,adana,Adana,13,Rıtvan Bostancı,15
AB,ab,Adana,adana,Adana,14,Kenan Kaya,15
AB,ab,Adana,adana,Adana,15,Zeliha Yıldırım,15
AK Parti,akparti,Adana,adana,Adana,1,Ömer Çelik,15
AK Parti,akparti,Adana,adana,Adana,2,Ahmet Zenbilci,15
AK Parti,akparti,Adana,adana,Adana,3,Sunay Karamık,15
AK Parti,akparti,Adana,adana,Adana,4,Abdullah Doğru,15
AK Parti,akparti,Adana,adana,Adana,5,Faruk Aytek,15
AK Parti,akparti,Adana,adana,Adana,6,Mustafa Yıldız,15
AK Parti,akparti,Adana,adana,Adana,7,Hasan Hüseyin Kuşcu,15
AK Parti,akparti,Adana,adana,Adana,8,Erol Kahraman,15
AK Parti,akparti,Adana,adana,Adana,9,Kasım Pamuk,15
AK Parti,akparti,Adana,adana,Adana,10,Fatime Yurduseven,15
AK Parti,akparti,Adana,adana,Adana,11,Dinçer Dinç,15
AK Parti,akparti,Adana,adana,Adana,12,Melike Doğan,15
AK Parti,akparti,Adana,adana,Adana,13,Ramazan Çırak,15
AK Parti,akparti,Adana,adana,Adana,14,Oğuzhan Gürhani,15
AK Parti,akparti,Adana,adana,Adana,15,Mehmet Kurtaran,15
Bağımsız,bagimsiz,Adana,adana,Adana,1,Salim Şengül,15
Bağımsız,bagimsiz,Adana,adana,Adana,2,Ali Göçer,15
Bağımsız,bagimsiz,Adana,adana,Adana,3,Ayhan Öztaşlar,15
Bağımsız,bagimsiz,Adana,adana,Adana,4,Fatih Gür,15
BBP,bbp,Adana,adana,Adana,1,Ahmet Şahin,15
BBP,bbp,Adana,adana,Adana,2,Gürdal Topal,15
BBP,bbp,Adana,adana,Adana,3,Mehmet Şerif Dumrul,15
BBP,bbp,Adana,adana,Adana,4,İrfan Tekdemir,15
BBP,bbp,Adana,adana,Adana,5,Yunus Oğuz,15
BBP,bbp,Adana,adana,Adana,6,Ayşe Gümüş,15
BBP,bbp,Adana,adana,Adana,7,Atike Zühal Cengiz,15
BBP,bbp,Adana,adana,Adana,8,Ali Bulmuş,15
BBP,bbp,Adana,adana,Adana,9,Zekeriya Akduman,15
BBP,bbp,Adana,adana,Adana,10,Fatma Gezer,15
BBP,bbp,Adana,adana,Adana,11,Cumali Lenger,15
BBP,bbp,Adana,adana,Adana,12,İsmail Bekşen,15
BBP,bbp,Adana,adana,Adana,13,Sinan Ünal,15
BBP,bbp,Adana,adana,Adana,14,Hüseyin Karadağlı,15
BBP,bbp,Adana,adana,Adana,15,Mehmet Selim Öztaş,15
CHP,chp,Adana,adana,Adana,1,Orhan Sümer,15
CHP,chp,Adana,adana,Adana,2,Müzeyyen Şevkin,15
CHP,chp,Adana,adana,Adana,3,Burhanettin Bulut,15
CHP,chp,Adana,adana,Adana,4,Sadullah Kısacık,15
CHP,chp,Adana,adana,Adana,5,Ayhan Barut,15
CHP,chp,Adana,adana,Adana,6,Osman Berke Duvan,15
CHP,chp,Adana,adana,Adana,7,Hüseyin Keser,15
CHP,chp,Adana,adana,Adana,8,Erkan Karakaya,15
CHP,chp,Adana,adana,Adana,9,Orhan Toklu,15
CHP,chp,Adana,adana,Adana,10,Kübra Özbiçer Büyükikiz,15
CHP,chp,Adana,adana,Adana,11,Ahmet Korkmaz,15
CHP,chp,Adana,adana,Adana,12,Sercan Polat,15
CHP,chp,Adana,adana,Adana,13,Seyfettin Can,15
CHP,chp,Adana,adana,Adana,14,Ebru Yılmaz,15
CHP,chp,Adana,adana,Adana,15,Elife Müftüoğlu,15
Genç Parti,gencparti,Adana,adana,Adana,1,Ayhan Dağtekin,15
Genç Parti,gencparti,Adana,adana,Adana,2,Başar Erdinç Kılınç,15
Genç Parti,gencparti,Adana,adana,Adana,3,Yusuf Arslan,15
Genç Parti,gencparti,Adana,adana,Adana,4,Sebiha Özdemir,15
Genç Parti,gencparti,Adana,adana,Adana,5,Yıldız Çakay,15
Genç Parti,gencparti,Adana,adana,Adana,6,Nedim Can Çerçel,15
Genç Parti,gencparti,Adana,adana,Adana,7,Şafak Varkal,15
Genç Parti,gencparti,Adana,adana,Adana,8,Kağan Koyuncu,15
Genç Parti,gencparti,Adana,adana,Adana,9,Alev Esenköylü,15
Genç Parti,gencparti,Adana,adana,Adana,10,Kemal Gül,15
Genç Parti,gencparti,Adana,adana,Adana,11,Mehmet Yıldırım,15
Genç Parti,gencparti,Adana,adana,Adana,12,Sevgi Arslan,15
Genç Parti,gencparti,Adana,adana,Adana,13,Mertcan Arslan,15
Genç Parti,gencparti,Adana,adana,Adana,14,Fatma Arslan,15
Genç Parti,gencparti,Adana,adana,Adana,15,Esra Altunbaş,15
HAK-PAR,hakpar,Adana,adana,Adana,1,Süleyman Kart,15
HAK-PAR,hakpar,Adana,adana,Adana,2,Bedri Böyük,15
HAK-PAR,hakpar,Adana,adana,Adana,3,Resul Saydam,15
HAK-PAR,hakpar,Adana,adana,Adana,4,Meltem San,15
HAK-PAR,hakpar,Adana,adana,Adana,5,Cemre Bukan,15
HAK-PAR,hakpar,Adana,adana,Adana,6,Veddat Mavlay,15
HAK-PAR,hakpar,Adana,adana,Adana,7,Ferman Hoşgül,15
HAK-PAR,hakpar,Adana,adana,Adana,8,Deniz Koç,15
HAK-PAR,hakpar,Adana,adana,Adana,9,Peyruze İpek Gültekin,15
HAK-PAR,hakpar,Adana,adana,Adana,10,Ethem Bozdemir,15
HAK-PAR,hakpar,Adana,adana,Adana,11,Dersim Deniz Cevheroğlu,15
HAK-PAR,hakpar,Adana,adana,Adana,12,Ramazan Sarı,15
HAK-PAR,hakpar,Adana,adana,Adana,13,Bahar Sezer,15
HAK-PAR,hakpar,Adana,adana,Adana,14,İlyas Kahraman,15
HAK-PAR,hakpar,Adana,adana,Adana,15,Medeni Temizer,15
HKP,hkp,Adana,adana,Adana,1,Ayşe Küçükosmanoğlu,15
